D,gamma,accuracy,method,cutoff,dataset type
0.1,0,0.08663,rMixMED,1000,1m
0.1,0,0.026299999999999994,rMixMED,100,1m
0.1,0,0.017500000000000005,tL2,20,1r
0.1,0,0.03259999999999997,tL2,100,1r
0.1,0,0.09423000000000004,tL2,1000,1r
0.1,0,0.025999999999999992,rMEAN,20,1r
0.1,0,0.04699999999999996,rMEAN,100,1r
0.1,0,0.11014000000000007,rMEAN,1000,1r
0.1,0,0.030999999999999986,MC2,20,1m
0.1,0,0.030999999999999986,MC2,20,1r
0.1,0,0.049299999999999934,MC2,100,1m
0.1,0,0.049299999999999934,MC2,100,1r
0.1,0,0.10641000000000002,MC2,1000,1m
0.1,0,0.10641000000000002,MC2,1000,1r
0.1,0,0.030499999999999985,stuart,20,1r
0.1,0,0.05059999999999997,stuart,100,1r
0.1,0,0.11058000000000004,stuart,1000,1r
0.1,0,0.02699999999999999,RRA,20,1r
0.1,0,0.0065000000000000014,rMED,20,0r
0.1,0,0.04189999999999996,RRA,100,1r
0.1,0,0.01880000000000001,rMED,100,0r
0.1,0,0.11311000000000006,MC3,1000,1r
0.1,0,0.026999999999999982,MAIC,20,1r
0.1,0,0.047299999999999995,MAIC,100,1r
0.1,0,0.10600000000000001,MAIC,1000,1r
0.1,0,0.004,BiGNA,20,1m
0.1,0,0.004,BiGNA,20,1r
0.1,0,0.01830000000000001,BiGNA,100,1m
0.1,0,0.01830000000000001,BiGNA,100,1r
0.1,0,0.08652000000000004,BiGNA,1000,1m
0.1,0,0.08652000000000004,BiGNA,1000,1r
0.1,0,0.023499999999999997,rMED,20,1r
0.1,0,0.04269999999999998,rMED,100,1r
0.1,0,0.09899000000000005,rMED,1000,1r
0.1,0,0.031499999999999986,MC3,20,1m
0.1,0,0.031499999999999986,MC3,20,1r
0.1,0,0.05079999999999998,MC3,100,1m
0.1,0,0.05079999999999998,MC3,100,1r
0.1,0,0.11311000000000006,MC3,1000,1m
0.1,0,0.08606,rMED,1000,0r
0.1,0,0.008000000000000002,BiGNA,20,0m
0.1,0,0.10602,RRA,1000,1r
0.1,0,0.021500000000000005,VC,20,1r
0.1,0,0.029499999999999988,tGEO,20,0r
0.1,0,0.11188,stuart,1000,0m
0.1,0,0.09569000000000003,tMEAN,1000,0r
0.1,0,0.039499999999999966,tMEAN,100,0r
0.1,0,0.02599999999999999,tMEAN,20,0r
0.1,0,0.030999999999999996,RRA,20,0m
0.1,0,0.05089999999999998,RRA,100,0m
0.1,0,0.10854000000000004,RRA,1000,0m
0.1,0,0.07199999999999995,rMixMEAN,20,0m
0.1,0,0.09559999999999996,rMixMEAN,100,0m
0.1,0,0.11416999999999998,rMixMEAN,1000,0m
0.1,0,0.021500000000000005,tL2,20,0m
0.1,0,0.03549999999999998,tL2,100,0m
0.1,0,0.08588000000000007,BARD,1000,0r
0.1,0,0.08588000000000007,BARD,1000,0m
0.1,0,0.02060000000000001,BARD,100,0r
0.1,0,0.02060000000000001,BARD,100,0m
0.1,0,0.04559999999999997,tGEO,100,0r
0.1,0,0.04199999999999997,BiGbottom,20,0r
0.1,0,0.10632000000000001,tGEO,1000,0r
0.1,0,0.03499999999999999,stuart,20,0m
0.1,0,0.03919999999999997,VC,100,1r
0.1,0,0.10343000000000004,VC,1000,1r
0.1,0,0.0075000000000000015,RepeatChoice,20,1r
0.1,0,0.020500000000000008,RepeatChoice,100,1r
0.1,0,0.08480000000000003,RepeatChoice,1000,1r
