heterogeneity_D,top-1000 accuracy,method,M,dataset type
0.1,0.218,BiGNA,1,0m
0.1,0.286,BiGNA,1,0m
0.1,0.189,BiGNA,1,0m
0.1,0.188,BiGNA,1,0m
0.1,0.256,BiGNA,1,0m
0.1,0.211,BiGNA,1,0m
0.1,0.172,BiGNA,1,0m
0.1,0.135,BiGNA,1,0m
0.1,0.181,BiGNA,1,0m
0.1,0.181,BiGNA,1,0m
0.1,0.17,BiGNA,1,0m
0.1,0.214,BiGNA,1,0m
0.1,0.237,BiGNA,1,0m
0.1,0.207,BiGNA,1,0m
0.1,0.159,BiGNA,1,0m
0.1,0.198,BiGNA,1,0m
0.1,0.231,BiGNA,1,0m
0.1,0.238,BiGNA,1,0m
0.1,0.246,BiGNA,1,0m
0.1,0.314,BiGNA,1,0m
0.1,0.257,BiGNA,1,0m
0.1,0.285,BiGNA,1,0m
0.1,0.235,BiGNA,1,0m
0.1,0.253,BiGNA,1,0m
0.1,0.318,BiGNA,1,0m
0.1,0.18,BiGNA,1,0m
0.1,0.239,BiGNA,1,0m
0.1,0.181,BiGNA,1,0m
0.1,0.196,BiGNA,1,0m
0.1,0.209,BiGNA,1,0m
0.1,0.214,BiGNA,1,0m
0.1,0.276,BiGNA,1,0m
0.1,0.202,BiGNA,1,0m
0.1,0.172,BiGNA,1,0m
0.1,0.182,BiGNA,1,0m
0.1,0.233,BiGNA,1,0m
0.1,0.141,BiGNA,1,0m
0.1,0.163,BiGNA,1,0m
0.1,0.151,BiGNA,1,0m
0.1,0.218,BiGNA,1,0m
0.1,0.172,BiGNA,1,0m
0.1,0.215,BiGNA,1,0m
0.1,0.242,BiGNA,1,0m
0.1,0.151,BiGNA,1,0m
0.1,0.238,BiGNA,1,0m
0.1,0.164,BiGNA,1,0m
0.1,0.179,BiGNA,1,0m
0.1,0.187,BiGNA,1,0m
0.1,0.212,BiGNA,1,0m
0.1,0.204,BiGNA,1,0m
0.1,0.241,BiGNA,1,0m
0.1,0.162,BiGNA,1,0m
0.1,0.206,BiGNA,1,0m
0.1,0.243,BiGNA,1,0m
0.1,0.189,BiGNA,1,0m
0.1,0.195,BiGNA,1,0m
0.1,0.257,BiGNA,1,0m
0.1,0.158,BiGNA,1,0m
0.1,0.143,BiGNA,1,0m
0.1,0.179,BiGNA,1,0m
0.1,0.228,BiGNA,1,0m
0.1,0.159,BiGNA,1,0m
0.1,0.199,BiGNA,1,0m
0.1,0.214,BiGNA,1,0m
0.1,0.181,BiGNA,1,0m
0.1,0.256,BiGNA,1,0m
0.1,0.241,BiGNA,1,0m
0.1,0.211,BiGNA,1,0m
0.1,0.276,BiGNA,1,0m
0.1,0.232,BiGNA,1,0m
0.1,0.194,BiGNA,1,0m
0.1,0.285,BiGNA,1,0m
0.1,0.239,BiGNA,1,0m
0.1,0.263,BiGNA,1,0m
0.1,0.193,BiGNA,1,0m
0.1,0.304,BiGNA,1,0m
0.1,0.216,BiGNA,1,0m
0.1,0.211,BiGNA,1,0m
0.1,0.171,BiGNA,1,0m
0.1,0.208,BiGNA,1,0m
0.1,0.213,BiGNA,1,0m
0.1,0.17,BiGNA,1,0m
0.1,0.206,BiGNA,1,0m
0.1,0.175,BiGNA,1,0m
0.1,0.242,BiGNA,1,0m
0.1,0.163,BiGNA,1,0m
0.1,0.257,BiGNA,1,0m
0.1,0.262,BiGNA,1,0m
0.1,0.199,BiGNA,1,0m
0.1,0.234,BiGNA,1,0m
0.1,0.292,BiGNA,1,0m
0.1,0.271,BiGNA,1,0m
