mean_noise_M,top-100 accuracy,method,D,dataset type
4.0,0.03,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.06,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.08,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.08,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.01,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.01,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.0,BiGbottom,0.1,0m
4.0,0.08,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.01,BiGbottom,0.1,0m
4.0,0.01,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.0,BiGbottom,0.1,0m
4.0,0.01,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.0,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.06,BiGbottom,0.1,0m
4.0,0.0,BiGbottom,0.1,0m
4.0,0.08,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.05,BiGbottom,0.1,0m
4.0,0.04,BiGbottom,0.1,0m
4.0,0.02,BiGbottom,0.1,0m
4.0,0.03,BiGbottom,0.1,0m
4.0,0.06,BiGbottom,0.1,0m
