mean_noise_M,top-1000 accuracy,method,D,dataset type
4.0,0.091,BiGbottom,0.1,0m
4.0,0.107,BiGbottom,0.1,0m
4.0,0.093,BiGbottom,0.1,0m
4.0,0.097,BiGbottom,0.1,0m
4.0,0.087,BiGbottom,0.1,0m
4.0,0.088,BiGbottom,0.1,0m
4.0,0.099,BiGbottom,0.1,0m
4.0,0.095,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.074,BiGbottom,0.1,0m
4.0,0.096,BiGbottom,0.1,0m
4.0,0.099,BiGbottom,0.1,0m
4.0,0.118,BiGbottom,0.1,0m
4.0,0.086,BiGbottom,0.1,0m
4.0,0.103,BiGbottom,0.1,0m
4.0,0.092,BiGbottom,0.1,0m
4.0,0.091,BiGbottom,0.1,0m
4.0,0.078,BiGbottom,0.1,0m
4.0,0.092,BiGbottom,0.1,0m
4.0,0.094,BiGbottom,0.1,0m
4.0,0.101,BiGbottom,0.1,0m
4.0,0.087,BiGbottom,0.1,0m
4.0,0.075,BiGbottom,0.1,0m
4.0,0.107,BiGbottom,0.1,0m
4.0,0.07,BiGbottom,0.1,0m
4.0,0.087,BiGbottom,0.1,0m
4.0,0.109,BiGbottom,0.1,0m
4.0,0.106,BiGbottom,0.1,0m
4.0,0.088,BiGbottom,0.1,0m
4.0,0.101,BiGbottom,0.1,0m
4.0,0.103,BiGbottom,0.1,0m
4.0,0.091,BiGbottom,0.1,0m
4.0,0.092,BiGbottom,0.1,0m
4.0,0.095,BiGbottom,0.1,0m
4.0,0.081,BiGbottom,0.1,0m
4.0,0.117,BiGbottom,0.1,0m
4.0,0.078,BiGbottom,0.1,0m
4.0,0.099,BiGbottom,0.1,0m
4.0,0.103,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.085,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.089,BiGbottom,0.1,0m
4.0,0.1,BiGbottom,0.1,0m
4.0,0.08,BiGbottom,0.1,0m
4.0,0.094,BiGbottom,0.1,0m
4.0,0.093,BiGbottom,0.1,0m
4.0,0.115,BiGbottom,0.1,0m
4.0,0.093,BiGbottom,0.1,0m
4.0,0.116,BiGbottom,0.1,0m
4.0,0.072,BiGbottom,0.1,0m
4.0,0.103,BiGbottom,0.1,0m
4.0,0.061,BiGbottom,0.1,0m
4.0,0.093,BiGbottom,0.1,0m
4.0,0.098,BiGbottom,0.1,0m
4.0,0.086,BiGbottom,0.1,0m
4.0,0.077,BiGbottom,0.1,0m
4.0,0.109,BiGbottom,0.1,0m
4.0,0.087,BiGbottom,0.1,0m
4.0,0.109,BiGbottom,0.1,0m
4.0,0.089,BiGbottom,0.1,0m
4.0,0.1,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.085,BiGbottom,0.1,0m
4.0,0.095,BiGbottom,0.1,0m
4.0,0.129,BiGbottom,0.1,0m
4.0,0.089,BiGbottom,0.1,0m
4.0,0.096,BiGbottom,0.1,0m
4.0,0.103,BiGbottom,0.1,0m
4.0,0.081,BiGbottom,0.1,0m
4.0,0.095,BiGbottom,0.1,0m
4.0,0.099,BiGbottom,0.1,0m
4.0,0.09,BiGbottom,0.1,0m
4.0,0.082,BiGbottom,0.1,0m
4.0,0.095,BiGbottom,0.1,0m
